"RdRp_ID","taxonomy","bitscore","Contig","Class"
"T2-R-H218O-A_NODE_12614_length_758_cov_2.637555_1","Tymovirales",71.6,"T2-R-H218O-A_NODE_12614_length_758_cov_2.637555","Alsuviricetes"
"T2-R-H218O-A_NODE_24791_length_637_cov_2.593640_1","Picornavirales",122.2,"T2-R-H218O-A_NODE_24791_length_637_cov_2.593640","Pisoniviricetes"
"T2-R-H218O-B_NODE_1427_length_1411_cov_8.285075_1","Tymovirales",70.8,"T2-R-H218O-B_NODE_1427_length_1411_cov_8.285075","Alsuviricetes"
"T2-R-H218O-B_NODE_25486_length_642_cov_2.861646_1","Cryppavirales",89,"T2-R-H218O-B_NODE_25486_length_642_cov_2.861646","Howeltoviricetes"
"T2-R-H218O-B_NODE_9_length_4357_cov_20.601960_1","Tymovirales",438.1,"T2-R-H218O-B_NODE_9_length_4357_cov_20.601960","Alsuviricetes"
"T2-R-H218O-C_NODE_15885_length_741_cov_3.807463_2","Tymovirales",124.1,"T2-R-H218O-C_NODE_15885_length_741_cov_3.807463","Alsuviricetes"
"T2-R-H218O-C_NODE_27_length_3617_cov_5.756063_1","Tymovirales",405.5,"T2-R-H218O-C_NODE_27_length_3617_cov_5.756063","Alsuviricetes"
"T2-R-H218O-C_NODE_5134_length_1015_cov_6.940678_1","Tymovirales",113.1,"T2-R-H218O-C_NODE_5134_length_1015_cov_6.940678","Alsuviricetes"
"T2-R-H218O-C_NODE_7274_length_918_cov_2.184179_1","Tymovirales",93.5,"T2-R-H218O-C_NODE_7274_length_918_cov_2.184179","Alsuviricetes"
"T2-R-H218O-C_NODE_7687_length_904_cov_3.073229_1","Tymovirales",98.8,"T2-R-H218O-C_NODE_7687_length_904_cov_3.073229","Alsuviricetes"
"T2-R-H218O-C_NODE_7897_length_898_cov_1.987908_1","Tombusviridae",25.1,"T2-R-H218O-C_NODE_7897_length_898_cov_1.987908","Tolucaviricetes"
"T2-R-H218O-P-A_NODE_12870_length_705_cov_7.559937_1","Tymovirales",94.6,"T2-R-H218O-P-A_NODE_12870_length_705_cov_7.559937","Alsuviricetes"
"T2-R-H218O-P-A_NODE_8609_length_783_cov_1.044944_1","Durnavirales",115.5,"T2-R-H218O-P-A_NODE_8609_length_783_cov_1.044944","Duplopiviricetes"
"T2-R-H218O-P-B_NODE_16126_length_702_cov_2.881141_1","Tymovirales",204,"T2-R-H218O-P-B_NODE_16126_length_702_cov_2.881141","Alsuviricetes"
"T2-R-H218O-P-B_NODE_20_length_3399_cov_11.874099_1","Virgaviridae",53.7,"T2-R-H218O-P-B_NODE_20_length_3399_cov_11.874099","Alsuviricetes"
"T2-R-H218O-P-B_NODE_4991_length_957_cov_2.381490_1","Tymovirales",88.4,"T2-R-H218O-P-B_NODE_4991_length_957_cov_2.381490","Alsuviricetes"
"T2-R-H218O-P-C_NODE_247_length_2108_cov_11.107511_1","Tombusviridae",33,"T2-R-H218O-P-C_NODE_247_length_2108_cov_11.107511","Tolucaviricetes"
"T2-R-H218O-P-C_NODE_27507_length_612_cov_1.317930_1","Tymovirales",138.8,"T2-R-H218O-P-C_NODE_27507_length_612_cov_1.317930","Alsuviricetes"
"T2-R-H218O-P-C_NODE_29327_length_602_cov_1.564972_1","Durnavirales",95.7,"T2-R-H218O-P-C_NODE_29327_length_602_cov_1.564972","Duplopiviricetes"
"T2-R-H218O-P-C_NODE_3_length_6171_cov_10.386557_2","Picornavirales",141.6,"T2-R-H218O-P-C_NODE_3_length_6171_cov_10.386557","Pisoniviricetes"
"T2-R-H218O-P-C_NODE_4_length_5487_cov_11.276403_1","Tymovirales",292.9,"T2-R-H218O-P-C_NODE_4_length_5487_cov_11.276403","Alsuviricetes"
"T2-R-H218O-P-C_NODE_6635_length_893_cov_4.810219_1","Cryppavirales",105.1,"T2-R-H218O-P-C_NODE_6635_length_893_cov_4.810219","Howeltoviricetes"
"T2-R-H218O-P-C_NODE_8424_length_839_cov_4.527344_1","Tymovirales",75.8,"T2-R-H218O-P-C_NODE_8424_length_839_cov_4.527344","Alsuviricetes"
"T2-R-H218O-P-C_NODE_9_length_4495_cov_10.388562_1","Tymovirales",448.6,"T2-R-H218O-P-C_NODE_9_length_4495_cov_10.388562","Alsuviricetes"
"T2-R-H2O-A_NODE_14299_length_794_cov_3.894882_1","Tymovirales",71.7,"T2-R-H2O-A_NODE_14299_length_794_cov_3.894882","Alsuviricetes"
"T2-R-H2O-B_NODE_16871_length_827_cov_3.321429_1","Tymovirales",94.7,"T2-R-H2O-B_NODE_16871_length_827_cov_3.321429","Alsuviricetes"
"T2-R-H2O-B_NODE_5658_length_1118_cov_3.626552_1","Tymovirales",94.2,"T2-R-H2O-B_NODE_5658_length_1118_cov_3.626552","Alsuviricetes"
"T2-R-H2O-B_NODE_6190_length_1091_cov_1.529412_1","Tymovirales",288.8,"T2-R-H2O-B_NODE_6190_length_1091_cov_1.529412","Alsuviricetes"
"T2-R-H2O-C_NODE_31616_length_633_cov_1.071174_1","Tymovirales",176.3,"T2-R-H2O-C_NODE_31616_length_633_cov_1.071174","Alsuviricetes"
"T2-R-H2O-P-A_NODE_14_length_4666_cov_10.455495_1","Tombusviridae",34.5,"T2-R-H2O-P-A_NODE_14_length_4666_cov_10.455495","Tolucaviricetes"
"T2-R-H2O-P-A_NODE_216_length_2387_cov_15.727547_1","Virgaviridae",54.2,"T2-R-H2O-P-A_NODE_216_length_2387_cov_15.727547","Alsuviricetes"
"T2-R-H2O-P-A_NODE_32198_length_638_cov_1.536155_1","Tymovirales",143.6,"T2-R-H2O-P-A_NODE_32198_length_638_cov_1.536155","Alsuviricetes"
"T2-R-H2O-P-A_NODE_32_length_3876_cov_7.654928_1","Tymovirales",296.8,"T2-R-H2O-P-A_NODE_32_length_3876_cov_7.654928","Alsuviricetes"
"T2-R-H2O-P-B_NODE_10_length_4257_cov_6.543717_1","Tymovirales",84.8,"T2-R-H2O-P-B_NODE_10_length_4257_cov_6.543717","Alsuviricetes"
"T2-R-H2O-P-B_NODE_110_length_2436_cov_8.734884_1","Picornaviridae",217.8,"T2-R-H2O-P-B_NODE_110_length_2436_cov_8.734884","Pisoniviricetes"
"T2-R-H2O-P-B_NODE_11_length_4110_cov_4.961872_1","Tombusviridae",34.5,"T2-R-H2O-P-B_NODE_11_length_4110_cov_4.961872","Tolucaviricetes"
"T2-R-H2O-P-B_NODE_12_length_4101_cov_4.134739_2","Picornaviridae",199.7,"T2-R-H2O-P-B_NODE_12_length_4101_cov_4.134739","Pisoniviricetes"
"T2-R-H2O-P-B_NODE_17_length_4008_cov_15.717043_1","Tymovirales",402.9,"T2-R-H2O-P-B_NODE_17_length_4008_cov_15.717043","Alsuviricetes"
"T2-R-H2O-P-B_NODE_3031_length_1017_cov_2.097252_1","Picornaviridae",73.2,"T2-R-H2O-P-B_NODE_3031_length_1017_cov_2.097252","Pisoniviricetes"
"T2-R-H2O-P-B_NODE_8_length_4561_cov_19.259243_2","Virgaviridae",53.5,"T2-R-H2O-P-B_NODE_8_length_4561_cov_19.259243","Alsuviricetes"
"T2-R-H2O-P-C_NODE_14_length_4237_cov_11.210514_1","Tymovirales",84.8,"T2-R-H2O-P-C_NODE_14_length_4237_cov_11.210514","Alsuviricetes"
"T2-R-H2O-P-C_NODE_6202_length_1022_cov_2.199790_1","Picornaviridae",136.7,"T2-R-H2O-P-C_NODE_6202_length_1022_cov_2.199790","Pisoniviricetes"
"T3-R-H218O-A_NODE_1026_length_1636_cov_3.210863_1","Tymovirales",90.1,"T3-R-H218O-A_NODE_1026_length_1636_cov_3.210863","Alsuviricetes"
"T3-R-H218O-A_NODE_18858_length_712_cov_3.455538_1","Tymovirales",135.3,"T3-R-H218O-A_NODE_18858_length_712_cov_3.455538","Alsuviricetes"
"T3-R-H218O-A_NODE_19855_length_701_cov_4.077778_1","Partitiviridae",133.1,"T3-R-H218O-A_NODE_19855_length_701_cov_4.077778","Duplopiviricetes"
"T3-R-H218O-A_NODE_25_length_3813_cov_10.794495_1","Tymovirales",173.7,"T3-R-H218O-A_NODE_25_length_3813_cov_10.794495","Alsuviricetes"
"T3-R-H218O-A_NODE_3196_length_1187_cov_4.943548_1","Tymovirales",164.9,"T3-R-H218O-A_NODE_3196_length_1187_cov_4.943548","Alsuviricetes"
"T3-R-H218O-A_NODE_3895_length_1121_cov_1.944762_1","Tymovirales",90.2,"T3-R-H218O-A_NODE_3895_length_1121_cov_1.944762","Alsuviricetes"
"T3-R-H218O-A_NODE_399_length_2096_cov_10.662716_1","Tymovirales",93.2,"T3-R-H218O-A_NODE_399_length_2096_cov_10.662716","Alsuviricetes"
"T3-R-H218O-B_NODE_20290_length_665_cov_5.510101_1","Ghabrivirales",107,"T3-R-H218O-B_NODE_20290_length_665_cov_5.510101","Chrymotiviricetes"
"T3-R-H218O-B_NODE_259_length_2126_cov_5.742092_1","Tymovirales",422,"T3-R-H218O-B_NODE_259_length_2126_cov_5.742092","Alsuviricetes"
"T3-R-H218O-B_NODE_6528_length_898_cov_6.604595_1","Tymovirales",241.9,"T3-R-H218O-B_NODE_6528_length_898_cov_6.604595","Alsuviricetes"
"T3-R-H218O-C_NODE_3067_length_1040_cov_1.484004_1","Picornavirales",96.9,"T3-R-H218O-C_NODE_3067_length_1040_cov_1.484004","Pisoniviricetes"
"T3-R-H218O-C_NODE_4_length_4727_cov_16.812930_1","Tymovirales",432.2,"T3-R-H218O-C_NODE_4_length_4727_cov_16.812930","Alsuviricetes"
"T3-R-H218O-C_NODE_9_length_4352_cov_7.288951_1","Tymovirales",83.9,"T3-R-H218O-C_NODE_9_length_4352_cov_7.288951","Alsuviricetes"
"T3-R-H218O-P-A_NODE_11344_length_836_cov_2.056209_1","Tymovirales",92.1,"T3-R-H218O-P-A_NODE_11344_length_836_cov_2.056209","Alsuviricetes"
"T3-R-H218O-P-A_NODE_29724_length_642_cov_4.285464_1","Tymovirales",200.1,"T3-R-H218O-P-A_NODE_29724_length_642_cov_4.285464","Alsuviricetes"
"T3-R-H218O-P-A_NODE_30540_length_638_cov_1.220459_1","Tymovirales",158.4,"T3-R-H218O-P-A_NODE_30540_length_638_cov_1.220459","Alsuviricetes"
"T3-R-H218O-P-A_NODE_7_length_4718_cov_11.014633_2","Tombusviridae",34.5,"T3-R-H218O-P-A_NODE_7_length_4718_cov_11.014633","Tolucaviricetes"
"T3-R-H218O-P-A_NODE_8485_length_903_cov_13.694712_1","Tymovirales",122.9,"T3-R-H218O-P-A_NODE_8485_length_903_cov_13.694712","Alsuviricetes"
"T3-R-H218O-P-B_NODE_2450_length_915_cov_1.619668_1","Tymovirales",93.2,"T3-R-H218O-P-B_NODE_2450_length_915_cov_1.619668","Alsuviricetes"
"T3-R-H218O-P-B_NODE_3387_length_843_cov_4.059585_1","Tymovirales",98,"T3-R-H218O-P-B_NODE_3387_length_843_cov_4.059585","Alsuviricetes"
"T3-R-H218O-P-B_NODE_4_length_4235_cov_11.507445_1","Tymovirales",80.4,"T3-R-H218O-P-B_NODE_4_length_4235_cov_11.507445","Alsuviricetes"
"T3-R-H218O-P-B_NODE_64_length_2279_cov_13.606884_1","Virgaviridae",54.3,"T3-R-H218O-P-B_NODE_64_length_2279_cov_13.606884","Alsuviricetes"
"T3-R-H218O-P-B_NODE_93_length_2082_cov_11.680756_2","Tombusviridae",35.9,"T3-R-H218O-P-B_NODE_93_length_2082_cov_11.680756","Tolucaviricetes"
"T3-R-H218O-P-B_NODE_9_length_3715_cov_3.181120_1","Picornavirales",88.7,"T3-R-H218O-P-B_NODE_9_length_3715_cov_3.181120","Pisoniviricetes"
"T3-R-H218O-P-C_NODE_14_length_4081_cov_14.988030_1","Tymovirales",85,"T3-R-H218O-P-C_NODE_14_length_4081_cov_14.988030","Alsuviricetes"
"T3-R-H218O-P-C_NODE_477_length_1689_cov_3.162546_1","Picornavirales",143.5,"T3-R-H218O-P-C_NODE_477_length_1689_cov_3.162546","Pisoniviricetes"
"T3-R-H218O-P-C_NODE_5_length_4729_cov_11.345642_2","Tombusviridae",34.5,"T3-R-H218O-P-C_NODE_5_length_4729_cov_11.345642","Tolucaviricetes"
"T3-R-H218O-P-C_NODE_7_length_4574_cov_52.103042_1","Virgaviridae",53.5,"T3-R-H218O-P-C_NODE_7_length_4574_cov_52.103042","Alsuviricetes"
"T3-R-H218O-P-C_NODE_9_length_4511_cov_11.705631_1","Tymovirales",600,"T3-R-H218O-P-C_NODE_9_length_4511_cov_11.705631","Alsuviricetes"
"T3-R-H2O-A_NODE_43_length_3629_cov_5.207420_1","Tymovirales",85.8,"T3-R-H2O-A_NODE_43_length_3629_cov_5.207420","Alsuviricetes"
"T3-R-H2O-A_NODE_49354_length_641_cov_4.191228_2","Tymovirales",94.7,"T3-R-H2O-A_NODE_49354_length_641_cov_4.191228","Alsuviricetes"
"T3-R-H2O-A_NODE_5411_length_1175_cov_4.134058_1","Tymovirales",93.3,"T3-R-H2O-A_NODE_5411_length_1175_cov_4.134058","Alsuviricetes"
"T3-R-H2O-A_NODE_8_length_4699_cov_8.570441_1","Tymovirales",442.7,"T3-R-H2O-A_NODE_8_length_4699_cov_8.570441","Alsuviricetes"
"T3-R-H2O-B_NODE_17237_length_827_cov_1.132275_1","Tymovirales",71.7,"T3-R-H2O-B_NODE_17237_length_827_cov_1.132275","Alsuviricetes"
"T3-R-H2O-B_NODE_17441_length_824_cov_3.373174_1","Tymovirales",127.8,"T3-R-H2O-B_NODE_17441_length_824_cov_3.373174","Alsuviricetes"
"T3-R-H2O-B_NODE_31245_length_703_cov_3.272152_2","Tymovirales",114,"T3-R-H2O-B_NODE_31245_length_703_cov_3.272152","Alsuviricetes"
"T3-R-H2O-C_NODE_2164_length_1296_cov_4.184490_1","Tymovirales",366.6,"T3-R-H2O-C_NODE_2164_length_1296_cov_4.184490","Alsuviricetes"
"T3-R-H2O-C_NODE_99_length_2683_cov_5.432619_1","Tymovirales",405.1,"T3-R-H2O-C_NODE_99_length_2683_cov_5.432619","Alsuviricetes"
"T3-R-H2O-P-A_NODE_11425_length_687_cov_5.295455_1","Kitrinoviricota",22.2,"T3-R-H2O-P-A_NODE_11425_length_687_cov_5.295455","Kitrinoviricota"
"T3-R-H2O-P-A_NODE_14_length_3977_cov_22.120072_1","Tymovirales",79.4,"T3-R-H2O-P-A_NODE_14_length_3977_cov_22.120072","Alsuviricetes"
"T3-R-H2O-P-A_NODE_2898_length_953_cov_2.819728_1","Tymovirales",100.3,"T3-R-H2O-P-A_NODE_2898_length_953_cov_2.819728","Alsuviricetes"
"T3-R-H2O-P-A_NODE_2_length_5414_cov_92.472019_2","Virgaviridae",53.5,"T3-R-H2O-P-A_NODE_2_length_5414_cov_92.472019","Alsuviricetes"
"T3-R-H2O-P-B_NODE_7_length_5416_cov_55.530402_1","Virgaviridae",53.5,"T3-R-H2O-P-B_NODE_7_length_5416_cov_55.530402","Alsuviricetes"
"T3-R-H2O-P-C_NODE_73_length_2538_cov_4.961492_1","Tymovirales",406.2,"T3-R-H2O-P-C_NODE_73_length_2538_cov_4.961492","Alsuviricetes"
"T3-R-H2O-P-C_NODE_873_length_1292_cov_6.909091_1","Tymovirales",366.6,"T3-R-H2O-P-C_NODE_873_length_1292_cov_6.909091","Alsuviricetes"
"T0-R-Dry-soil-A_NODE_10332_length_664_cov_4.785835_1","Ourlivirales",105.6,"T0-R-Dry-soil-A_NODE_10332_length_664_cov_4.785835","Miaviricetes"
"T0-R-Dry-soil-A_NODE_1060_length_1251_cov_9.400000_1","Lenarviricota",145,"T0-R-Dry-soil-A_NODE_1060_length_1251_cov_9.400000","Lenarviricota"
"T0-R-Dry-soil-A_NODE_1086_length_1245_cov_5.976150_1","Cryppavirales",50.9,"T0-R-Dry-soil-A_NODE_1086_length_1245_cov_5.976150","Howeltoviricetes"
"T0-R-Dry-soil-A_NODE_1136_length_1230_cov_2.391717_1","Levivirales",211.8,"T0-R-Dry-soil-A_NODE_1136_length_1230_cov_2.391717","Leviviricetes"
"T0-R-Dry-soil-A_NODE_1148_length_1225_cov_69.240035_1","Kitrinoviricota",76.9,"T0-R-Dry-soil-A_NODE_1148_length_1225_cov_69.240035","Kitrinoviricota"
"T0-R-Dry-soil-A_NODE_11688_length_641_cov_5.163158_1","Tolivirales",205.6,"T0-R-Dry-soil-A_NODE_11688_length_641_cov_5.163158","Tolucaviricetes"
"T0-R-Dry-soil-A_NODE_11853_length_639_cov_2.535211_1","Cryppavirales",176.4,"T0-R-Dry-soil-A_NODE_11853_length_639_cov_2.535211","Howeltoviricetes"
"T0-R-Dry-soil-A_NODE_129_length_2198_cov_11.081335_1","Cryppavirales",340.5,"T0-R-Dry-soil-A_NODE_129_length_2198_cov_11.081335","Howeltoviricetes"
"T0-R-Dry-soil-A_NODE_12_length_3797_cov_18.981213_3","Levivirales",423.5,"T0-R-Dry-soil-A_NODE_12_length_3797_cov_18.981213","Leviviricetes"
"T0-R-Dry-soil-A_NODE_136_length_2188_cov_3.232404_1","Wolframvirales",153.4,"T0-R-Dry-soil-A_NODE_136_length_2188_cov_3.232404","Amabiliviricetes"
"T0-R-Dry-soil-A_NODE_13_length_3793_cov_64.481193_1","Cryppavirales",444.9,"T0-R-Dry-soil-A_NODE_13_length_3793_cov_64.481193","Howeltoviricetes"
"T0-R-Dry-soil-A_NODE_143_length_2171_cov_5.646190_1","Durnavirales",230.6,"T0-R-Dry-soil-A_NODE_143_length_2171_cov_5.646190","Duplopiviricetes"
"T0-R-Dry-soil-A_NODE_1543_length_1122_cov_3.838249_1","Cryppavirales",70.6,"T0-R-Dry-soil-A_NODE_1543_length_1122_cov_3.838249","Howeltoviricetes"
"T0-R-Dry-soil-A_NODE_154_length_2131_cov_11.022330_1","Levivirales",417.1,"T0-R-Dry-soil-A_NODE_154_length_2131_cov_11.022330","Leviviricetes"
