"Contig","T0.R.Dry.soil.A","T0.R.Dry.soil.B","T0.R.Dry.soil.C","T1.R.H218O.A","T1.R.H218O.B","T1.R.H218O.C","T1.R.H218O.P.A","T1.R.H218O.P.B","T1.R.H218O.P.C","T1.R.H2O.A","T1.R.H2O.B","T1.R.H2O.C","T1.R.H2O.P.A","T1.R.H2O.P.B","T1.R.H2O.P.C","taxonomy","Class","Order","host"
"T1-R-H218O-P-C_NODE_19_length_4050_cov_15.815783",0,0,11,22,20,163,301,75,477,147,63,78,364,133,500,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-C_NODE_26_length_3969_cov_27.556439",6,6,4,54,66,41,211,98,347,78,42,27,215,280,160,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-C_NODE_37_length_3536_cov_10.039250",6,5,16,46,34,17,186,133,628,71,8,10,198,116,171,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H218O-P-C_NODE_1669_length_1246_cov_4.177872",1,6,2,34,18,38,57,36,54,18,35,27,28,55,60,"Tolivirales","Tolucaviricetes","Tolivirales","Fungi"
"T1-R-H2O-A_NODE_211_length_2740_cov_3.508805",28,36,19,47,38,84,576,275,421,145,42,74,585,491,542,"Levivirales","Leviviricetes","Levivirales",NA
"T1-R-H2O-P-B_NODE_31_length_4001_cov_14.333842",0,0,0,4,8,10,8,22,63,22,11,4,100,120,55,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H2O-P-C_NODE_16_length_4081_cov_170.575561",6,2,4,30,32,19,72,69,53,93,32,50,325,260,211,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T1-R-H2O-P-C_NODE_1491_length_1451_cov_3.993478",0,0,0,10,4,14,50,22,14,20,16,11,50,14,34,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T2-R-H218O-B_NODE_122_length_2593_cov_2.524980",382,320,402,215,167,242,245,134,105,270,220,160,186,127,166,"Cryppavirales","Howeltoviricetes","Cryppavirales",NA
"T2-R-H218O-P-B_NODE_44_length_3008_cov_17.993190",12,34,21,284,152,231,525,201,280,128,196,137,288,199,231,"Tolivirales","Tolucaviricetes","Tolivirales","Fungi"
"T2-R-H218O-P-C_NODE_418_length_1842_cov_13.638622",6,2,2,23,10,18,78,54,105,22,5,15,94,106,145,"Timlovirales","Leviviricetes","Timlovirales","Bacteria"
"T2-R-H2O-P-C_NODE_36_length_3482_cov_41.813544",12,6,16,14,21,32,220,102,157,25,24,12,221,193,181,"Lenarviricota","Lenarviricota","Lenarviricota","Bacteria"
"T2-R-H2O-P-C_NODE_65_length_3118_cov_23.311126",2,8,0,47,25,51,166,104,212,53,25,28,231,267,340,"Timlovirales","Leviviricetes","Timlovirales","Bacteria"
"T3-R-H218O-P-A_NODE_2311_length_1280_cov_3.480562",53,98,82,2,3,12,10,15,6,8,2,8,10,3,6,"Ourlivirales","Miaviricetes","Ourlivirales",NA
"T3-R-H218O-P-C_NODE_28_length_3508_cov_129.514984",12,6,10,488,493,1660,748,417,345,123,80,123,231,156,236,"Pisuviricota","Pisuviricota","Pisuviricota",NA
